new_taxon,OA.diet.group,ncrab,functional_group,ed_JgAFDW,ed_JgWW,ed_taxon
Balanus crenatus,low,22,Shallow benthic filter feeders,21878,,Balanus balanoides
Clinocardium nuttallii,low,6,Bivalves,22719,,Clinocardium ciliatum
Limecola,low,3,Bivalves,18371,1.76,Macoma balthica
Modiolus modiolus,low,7,Bivalves,22593,,Modiolus modiolus
Mytilus trossulus,low,3,Bivalves,23300,,Mytilus edulis
Saxidomus,low,3,Bivalves,20404,,Venus spp.
Tellinidae,low,6,Bivalves,18371,,Macoma balthica
Chordariaceae,high,19,Macroalgae,13805,,Chordariaceae
Ectocarpaceae,high,4,Macroalgae,21295,,Ectocarpus dimorphus
Fucales,high,9,Macroalgae,19415,,Fucus distichus
Fucus distichus,high,6,Macroalgae,19415,,Fucus distichus
Ralfsiaceae,high,3,Macroalgae,17405,,Ralfsia sp.
Sargassum,high,3,Macroalgae,19415,,Fucus distichus
Membranipora membranacea,low,3,Shallow benthic filter feeders,20750,,Bryozoa and Brachiopoda
Paracalanus,low,5,Mesozooplankton,22610,,Calanus helgolandicus
Hemigrapsus oregonensis,low,4,Crabs,28605,,Hemigrapsus oregonensis megalope
Ulvales,high,7,Macroalgae,20325,,Ulva spp.
Tresus,low,9,Bivalves,19811,,Spisula spp.
Phacellophora camtschatica,high,5,Gelatinous zooplankton,13891,,Semaeostomeae
Rhodomelaceae,high,7,Macroalgae,20325,,Polysiphonia spp.
Crangon,low,3,Crangon shrimp,23490,,Decapoda (zoea)
Botrylloides,low,4,Shallow benthic filter feeders,20040,,Urichordates
Veneridae,low,4,Bivalves,20404,,Venus spp.
Micromonas pusilla,high,17,Small phytoplankton,25735,,Phytoplankton bloom
Euchlanis dilatata,high,17,Microzooplankton,,,
Cryptomonas curvata,high,3,Small phytoplankton,25735,,Phytoplankton bloom
Cryptophyceae,high,6,Small phytoplankton,25735,,Phytoplankton bloom
Dinophyceae,high,12,Microzooplankton,,,
Monocorophium acherusicum,mid,43,Deposit feeders,30050,,Corophiidae
Monocorophium insidiosum,mid,15,Deposit feeders,30050,,Corophiidae
Ampithoe valida,mid,8,Deposit feeders,20930,,Ampithoe lacertosa
Grandidierella japonica,mid,4,Deposit feeders,24545,,Grandidierella japonica
Bacillariophyceae,mid,21,Large phytoplankton,22690,,Nitzschia paradoxa
Bacillariophyta,mid,20,Large phytoplankton,22690,,Nitzschia paradoxa
Bacillariaceae,mid,8,Large phytoplankton,22690,,Nitzschia paradoxa
Nitzschia,mid,7,Large phytoplankton,22690,,Nitzschia paradoxa
Navicula,mid,4,Large phytoplankton,22690,,Nitzschia paradoxa
Naviculales,mid,20,Large phytoplankton,22690,,Nitzschia paradoxa
Pseudo-nitzschia,mid,4,Large phytoplankton,22690,,Nitzschia paradoxa
Pseudopolydora paucibranchiata,mid,7,Deposit feeders,,,
Pseudopolydora bassarginensis,mid,6,Deposit feeders,,,
Coscinodiscophyceae,mid,6,Large phytoplankton,,,
Cymbellales,mid,5,Large phytoplankton,,,
Rhizosoleniaceae,mid,5,Large phytoplankton,,,
Serpulidae,mid,4,Deposit feeders,,,
Eupolymnia heterobranchia,mid,4,Deposit feeders,,,
Ditylum brightwellii,mid,4,Large phytoplankton,,,
Haslea,mid,4,Large phytoplankton,,,
Chattonella marina,mid,4,Large phytoplankton,,,
Haminoea,mid,4,Sea stars moonsnail whelk,,,
Pleurosigma,mid,20,Large phytoplankton,,,
Platynereis,mid,9,Carnivorous infauna,,,
Mediophyceae,mid,9,Large phytoplankton,,,
