group,new_taxon,ncrab.x,functional_group,respone_number,r_score_no_effect,r_score_decrease,r_score_increase,r_score_complex,pr_score_no_effect,pr_score_decrease,pr_score_increase,directional_score,evidence_score,agreement_score,normalized_agreement_score,confidence_score,raw_survival_scalar,relative_survival_scalar,oa_survival_response_curve_slope,oa_survival_response_curve_lower_bound_slope,oa_survival_response_curve_upper_bound_slope,rraw_survival_scalar,plot.group.num,plot.group,ncrab.y,pcrab,ngroup,std_survival_scalar,eindex,eindex.rescaled,ed_JgAFDW,ed_JgWW,ed_taxon,std_ed,crab.risk
amphipod,Monocorophium acherusicum,43,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,43,0.7678571428571429,2,0.43790849673202614,0.8839504756188764,0.8811804758726142,30050,NA,Corophiidae,1,1
barnacle,Balanus crenatus,22,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Arthropoda-2,Arthropoda,22,0.39285714285714285,2,0.5947712418300654,0.7128040157027425,0.7061892996777214,21878,NA,Balanus balanoides,0.4969529085872576,0.6286907041361603
bivalves,Clinocardium nuttallii,6,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,6,0.10714285714285714,8,0.9019607843137254,0.908302178945182,0.9060792275587867,22719,NA,Clinocardium ciliatum,0.5487226839027393,0.7835681025185397
bivalves,Limecola,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,3,0.05357142857142857,8,0.9019607843137254,0.9035503054058552,0.9012206056499045,18371,1.76,Macoma balthica,0.28107109879963066,0.6923898839769378
bivalves,Modiolus modiolus,7,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,7,0.125,8,0.9019607843137254,0.9105812739343099,0.9084095212324205,22593,NA,Modiolus modiolus,0.5409664512157587,0.7819893637823325
bivalves,Mytilus trossulus,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,3,0.05357142857142857,8,0.9019607843137254,0.9035503054058552,0.9012206056499045,23300,NA,Mytilus edulis,0.5844875346260388,0.7953413728022957
bivalves,Saxidomus,3,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,3,0.05357142857142857,8,0.9019607843137254,0.9035503054058552,0.9012206056499045,20404,NA,Venus spp.,0.40621729763004,0.7276010963028374
bivalves,Tellinidae,6,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,6,0.10714285714285714,8,0.9019607843137254,0.908302178945182,0.9060792275587867,18371,NA,Macoma balthica,0.28107109879963066,0.6960603425289325
brown algae,Chordariaceae,19,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,19,0.3392857142857143,11,0.013071895424836595,0.33953743588647955,0.3245374801291291,13805,NA,Chordariaceae,0,0.20227379586279945
brown algae,Ectocarpaceae,4,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,4,0.07142857142857142,11,0.013071895424836595,0.07261484191488951,0.051618608801209075,21295,NA,Ectocarpus dimorphus,0.4610649430594029,0.312566775892746
brown algae,Fucales,9,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,9,0.16071428571428573,11,0.013071895424836595,0.16124501878399508,0.14223981653338313,19415,NA,Fucus distichus,0.34533702677746997,0.24099746987399442
brown algae,Fucus distichus,6,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,6,0.10714285714285714,11,0.013071895424836595,0.10793732573457875,0.08773459386313438,19415,NA,Fucus distichus,0.34533702677746997,0.22740871867820722
brown algae,Ralfsiaceae,3,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,3,0.05357142857142857,11,0.013071895424836595,0.05514319911994168,0.03375447463072643,17405,NA,Ralfsia sp.,0.22160664819944598,0.122861935511132
brown algae,Sargassum,3,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-11,Phaeophyceae,3,0.05357142857142857,11,0.013071895424836595,0.05514319911994168,0.03375447463072643,19415,NA,Fucus distichus,0.34533702677746997,0.22003142983509233
bryozoan,Membranipora membranacea,3,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Bryozoa-3,Bryozoa,3,0.05357142857142857,3,0.5947712418300654,0.5971789749038907,0.5879668024266043,20750,NA,Bryozoa and Brachiopoda,0.4275161588180979,0.5206537470129906
copepod,Paracalanus,5,Mesozooplankton,55,12.69,25.59,0,0,0.33,0.67,0,-0.67,38.28,0.78,0.56,2.03,-1.36,-0.99,0.99,0.73,1.25,1.36,Arthropoda-2,Arthropoda,5,0.08928571428571429,2,0.9934640522875817,0.9974681759149878,0.9972482923117625,22610,NA,Calanus helgolandicus,0.5420129270544783,0.843493352962341
crab,Hemigrapsus oregonensis,4,Crabs,145,50.63,47.39,2.13,2.25,0.51,0.47,0.02,-0.45,100.15,0.73,0.46,2.12,-0.96,-0.7,0.7,0.45,0.95,0.96,Arthropoda-2,Arthropoda,4,0.07142857142857142,2,0.7320261437908496,0.7355027641074017,0.7293979636689583,28605,NA,Hemigrapsus oregonensis megalope,0.9110495537088334,0.868839016655021
green algae,Ulvales,7,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Chlorophyta-4,Chlorophyta,7,0.125,4,0.013071895424836595,0.12568163927160508,0.10587752418221183,20325,NA,Ulva spp.,0.4013542628501077,0.273910462639885
horse and gaper clams,Tresus,9,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,9,0.16071428571428573,8,0.9019607843137254,0.9161671998453578,0.9141209320661052,19811,NA,Spisula spp.,0.36971375807940904,0.7256355376429313
jelly fish,Phacellophora camtschatica,5,Gelatinous zooplankton,3,1.51,0,0.83,0,0.64,0,0.36,0.36,2.35,0.77,0.54,0.46,0.16,0.12,-0.12,-0.56,0.33,-0.16,Cnidaria-6,Cnidaria,5,0.08928571428571429,6,0,0.08928571428571429,0.06866398365614385,13891,NA,Semaeostomeae,0.005293936595875654,0
red algae,Rhodomelaceae,7,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Rhodophyta-14,Rhodophyta,7,0.125,14,0.013071895424836595,0.12568163927160508,0.10587752418221183,20325,NA,Polysiphonia spp.,0.4013542628501077,0.273910462639885
shrimp,Crangon,3,Crangon shrimp,17,4.21,5.08,0,0,0.45,0.55,0,-0.55,9.28,0.75,0.5,1.12,-0.61,-0.45,0.45,0.08,0.81,0.61,Arthropoda-2,Arthropoda,3,0.05357142857142857,2,0.5032679738562091,0.5061112046462889,0.4948532420372565,23490,NA,Decapoda (zoea),0.5961834410587873,0.5584999028631384
tunicate,Botrylloides,4,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Chordata-5,Chordata,4,0.07142857142857142,5,0.5947712418300654,0.5990449656949006,0.5898747117309958,20040,NA,Urichordates,0.3838104032009849,0.5022879934259593
venus clams,Veneridae,4,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-8,Mollusca,4,0.07142857142857142,8,0.9019607843137254,0.9047846689992913,0.9024826985799795,20404,NA,Venus spp.,0.40621729763004,0.7285115122865555
Chlorophyta,Micromonas pusilla,17,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,single-celled organisms-15,single-celled organisms,16,0.2857142857142857,15,0.04575163398692811,0.28935422076357953,0.2732269251582531,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5654309073784488
NA,Cryptomonas curvata,3,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,single-celled organisms-15,single-celled organisms,3,0.05357142857142857,15,0.04575163398692811,0.0704493433018187,0.04940446338718554,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5278349340533531
NA,Cryptophyceae,6,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,single-celled organisms-15,single-celled organisms,6,0.10714285714285714,15,0.04575163398692811,0.11650237701098003,0.09649205456528086,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5315154623644387
